"STATION","NAME","DATE","TMAX","TMIN"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-11","55","36"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-12","50","29"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-13","53","30"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-14","55","33"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-15","46","37"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-16","51","34"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-17","51","38"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-18","78","49"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-19","74","44"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-20","57","39"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-21","50","33"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-22","57","34"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-23","75","47"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-24","65","47"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-25","69","57"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-26","59","43"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-27","61","42"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-28","56","37"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-29","74","46"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-04-30","77","52"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-01","69","54"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-02","64","43"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-03","70","53"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-04","64","50"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-05","67","47"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-06","79","49"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-07","78","52"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-08","68","49"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-09","72","51"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-10","76","50"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-11","77","51"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-12","78","54"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-13","67","46"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-14","71","47"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-15","74","51"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-16","74","48"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-17","70","50"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-18","78","52"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-19","84","60"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-20","86","62"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-21","90","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-22","88","64"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-23","82","65"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-24","86","67"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-25","89","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-26","88","62"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-27","84","64"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-28","76","57"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-29","81","61"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-30","80","64"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-05-31","81","61"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-01","65","55"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-02","72","54"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-03","69","52"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-04","77","55"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-05","84","60"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-06","80","63"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-07","85","54"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-08","73","50"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-09","72","52"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-10","72","56"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-11","81","61"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-12","80","61"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-13","78","61"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-14","84","59"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-15","82","59"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-16","76","54"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-17","80","59"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-18","83","64"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-19","90","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-20","92","71"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-21","92","70"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-22","91","72"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-23","89","71"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-24","88","68"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-25","87","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-26","88","67"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-27","82","66"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-28","87","70"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-29","89","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-06-30","88","69"
"USC00124272","INDIANAPOLIS SE SIDE, IN US","1975-07-01","89","69"
