"STATION","NAME","DATE","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-06","84","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-07","86","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-08","78","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-09","86","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-10","79","74"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-11","77","68"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-12","80","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-13","84","58"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-14","85","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-15","86","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-16","85","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-17","86","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-18","84","72"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-19","81","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-20","78","59"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-21","84","55"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-22","87","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-23","89","61"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-24","84","67"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-25","84","66"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-26","79","69"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-27","79","71"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-28","73","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-29","71","63"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-30","76","64"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-08-31","75","62"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-01","75","65"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-02","77","57"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2006-09-03","78","53"
