"STATION","NAME","DATE","TMAX","TMIN"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-19","41","31"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-20","46","28"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-21","54","42"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-22","63","35"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-23","72","36"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-24","64","47"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-25","54","38"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-26","67","33"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-27","63","38"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-28","65","35"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-29","62","43"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-30","48","44"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-10-31","50","43"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-01","47","41"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-02","60","44"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-03","70","46"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-04","70","41"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-05","41","34"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-06","40","35"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-07","43","34"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-08","45","32"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-09","51","29"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-10","60","42"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-11","55","49"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-12","69","44"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-13","45","32"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-14","36","28"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-15","34","27"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-16","40","23"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-17","52","38"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-18","49","41"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-19","47","40"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-20","55","38"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-21","59","44"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-22","64","56"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-23","64","48"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-24","55","47"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-25","56","48"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-26","55","40"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-27","42","37"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-28","41","35"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-29","36","30"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-11-30","42","28"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-01","38","34"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-02","38","33"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-03","35","30"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-04","42","29"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-05","34","23"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-06","28","20"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-07","33","27"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-08","33","29"
"USC00366986","PIT CARNEGIE SCIENCE, PA US","1992-12-09","39","27"
